userIncorrect,answer3Script,answer1Audio,answer1,answer3,answer2,testDate,isAnswered,testType,id,levelName,directionsAudio,answer3Audio,multiItemID,section,isCorrect,question,userCorrect,questionScript,multiItemQIDs,answer4,test,typeName,questionAudio,type,questionNumber,typeID,levelNumber,multiItem,testNumber,itemAudio,itemScript,correctAnswer,key,answer1Script,directions,sectionNumber,answer4Audio,isMultiItem,answer4Script,level,createdDateTime,sectionName,item,points,answer2Script,userAnswering,answer2Audio
,,,"네, 수영이에요","네, 안 좋아해요","아니요, 수영을 해요",2011-04-17T00:00:00,True,international,28012,Elementary,,,,32007,True,"<div class=""dialogue"">가: 수영을 좋아해요?</div>
<div class=""dialogue"">나: _____________________________.</div>",4,,,"아니요, 안 좋아해요",22003,choose sentence,,34017,32,34017,1,,22,,,4,28012,,※ [31~35] &lt;보기&gt;와 같이 빈칸에 알맞은 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:24:27,Writing,,4,,,
,,,어제 했어요,두 번 왔어요,언니가 했어요,2011-04-17T00:00:00,True,international,28013,Elementary,,,,32007,True,"<div class=""dialogue"">가: 누가 전화를 했어요?</div>
<div class=""dialogue"">나: _____________________________.</div>",2,,,전화가 왔어요,22003,choose sentence,,34017,33,34017,1,,22,,,2,28013,,※ [31~35] &lt;보기&gt;와 같이 빈칸에 알맞은 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:26:12,Writing,,4,,,
,,,㉠ - 일요일 오전에 등산 대회가 있습니다.,㉢ - 등산하는 날 참가 신청을 할 수 있습니다.,㉡ - 북한산 관리사무소 앞에서 등산을 시작합니다.,2011-04-17T00:00:00,True,international,28016,Elementary,,,,32007,True,"밑줄 친 부분을 <u>잘못</u> 바꾸어 쓴 것을 고르십시오. (4점)
<div class=""center""><img src=""/topik/t22-l1-p2b-q40.png"" /></div>",3,,,㉣ - 등산 대회에 가면 모자를 줍니다.,22003,writing answer question,,34019,40,34019,1,,22,,,3,28016,,※ [38~41] 다음 물음에 답하십시오.,2,,False,,31001,2011-07-09T03:47:34,Writing,,4,,,
,,,사,넷,네,2011-04-17T00:00:00,True,international,30003,Elementary,,,,31002,True,우리 가족은 ( ) 명이에요. (3점),2,,,넷째,22003,fill in right word,,32004,10,32004,1,,22,,,2,30003,,※ [9～12] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:04:18,Vocabulary and Grammar,,3,,True,
,,,해요,할게요,하세요,,,,30005,,,,,,,"<div class=""dialogue"">가: 뭐 해요?</div>
<div class=""dialogue"">나: 수영을 ( ).</div>",,,,하겠어요,,,,,0,,,,,,,1,30005,,,,,,,,2011-07-09T00:23:15,,,,,,
,,,갑니다,가세요,갈게요,2011-04-17T00:00:00,True,international,30006,Elementary,,,,31002,True,"(4점)
<div class=""dialogue"">가: 지금 어디에 가요?</div>
<div class=""dialogue"">나: 시장에 ( ).</div>",1,,,갔습니다,22003,choose sentence ending,,22007,16,22007,1,,22,,,1,30006,,※ [16～19] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:23:15,Vocabulary and Grammar,,4,,True,
,,,길어요,안 길어요,아파요,2011-04-17T00:00:00,True,international,30007,Elementary,,,,31002,True,"(4점)
<div class=""dialogue"">가: 다리가 아파요?</div>
<div class=""dialogue"">나: 아니요, ( ).</div>",4,,,안 아파요,22003,choose sentence ending,,22007,17,22007,1,,22,,,4,30007,,※ [16～19] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:26:06,Vocabulary and Grammar,,4,,True,
1,,,어머니께서 과자를 <u>드세요</u>.,할아버지께서 거실에 <u>계세요</u>.,아버지께서 방에서 <u>자세요</u>.,2011-04-17T00:00:00,True,international,30009,Elementary,,,,31002,False,,2,,,할머니께서 꽃을 <u>좋아하세요</u>.,22003,choose incorrect sentence,,35007,23,35007,1,,22,,,2,30009,,※ [23～24] &lt;보기&gt;와 같이 밑줄 친 부분이 <u>틀린</u> 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-09T00:58:13,Vocabulary and Grammar,,3,,True,
,,,아까,갑자기,어서,2011-04-17T00:00:00,True,international,31007,Elementary,,,,31002,True,사거리에서 오른쪽으로 ( ) 가면 백화점이 있어요. (4점),4,,,똑바로,22003,fill in right word,,32004,12,32004,1,,22,,,4,31007,,※ [9～12] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:06:50,Vocabulary and Grammar,,4,,True,
4,,,관심,습관,경험,2011-04-17T00:00:00,True,international,31008,Elementary,,,30013,31002,False,㉠에 알맞은 것을 고르십시오.,1,,"[31008L, 34015L]",내용,22003,passage reading 3pts,,34014,29,34014,1,30013,22,,,1,31008,,※ [29～30] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,31001,2011-07-09T01:26:48,Vocabulary and Grammar,"<p class=""indent"">한국 전통문화에 ( ㉠ )이 있으십니까? 그러면 민속촌으로 오십시오.
민속촌에는 한국의 옛날 집과 물건이 많이 있습니다. 민속촌의 아름다운
경치도 구경하고 재미있는 공연도 즐기십시오. 민속촌에 오시면 한국의
특별한 전통문화를 ( ㉡ ).</p>",3,,True,
,,,"네, 책이에요","네, 책이 없어요","아니요, 책이에요",,,,31009,,,,,,,"<div class=""dialogue"">가: 책이에요?</div>
<div class=""dialogue"">나: ______________________________.</div>",,,,"아니요, 책이 있어요",,,,,0,,,,,,,1,31009,,,,,,,,2011-07-09T03:20:06,,,,,,
,,,더 드세요,다음에 먹어요,저도 맛있어요,2011-04-17T00:00:00,True,international,31010,Elementary,,,,32007,True,"<div class=""dialogue"">가: 음식이 정말 맛있어요.</div>
<div class=""dialogue"">나: ____________________________.</div>
<div class=""dialogue"">가: 아니요, 너무 배불러요.</div>",1,,,제가 만들었어요,22003,choose sentence,,34017,35,34017,1,,22,,,1,31010,,※ [31~35] &lt;보기&gt;와 같이 빈칸에 알맞은 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:29:16,Writing,,4,,True,
,,,돈을 찾으면 은행에 갔습니다.,돈을 찾으려고 은행에 갔습니다.,돈을 찾아도 은행에 갔습니다.,2011-04-17T00:00:00,True,international,31011,Elementary,,,,32007,True,"<div class=""boxedpart"">돈을 찾습니다. 은행에 갔습니다.</div>",3,,,돈을 찾으면서 은행에 갔습니다.,22003,connect sentences,,30015,37,30015,1,,22,,,3,31011,,※ [36~37] &lt;보기&gt;와 같이 두 문장을 바르게 연결한 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:37:12,Writing,,4,,,
,,,사과,우유,과자,,,,32001,,,,,,,"<img src=""/topik/t22-l1-p1b-q01-e.png"" class=""floatright"" />
<div class=""dialogue"">가: 이것이 무엇입니까?</div>
<div class=""dialogue"">나: ( )입니다.</div>",,,,구두,,,,,0,,,,,,,2,32001,,,,,,,,2011-07-08T23:10:25,,,,,,
,,,봤어요,걸었어요,읽었어요,,,,32002,,,,,,,"<div class=""dialogue"">가: 영수 씨한테 약속 시간을 <u>말했어요</u>?</div>
<div class=""dialogue"">나: 네, 어제 ( ).</div>",,,,이야기했어요,,,,,0,,,,,,,4,32002,,,,,,,,2011-07-08T23:46:57,,,,,,
2,,,이,에서,에,2011-04-17T00:00:00,True,international,32005,Elementary,,,,31002,False,도서관( ) 책을 읽어요. (3점),3,,,하고,22003,fill in right particle,,35005,13,35005,1,,22,,,3,32005,,※ [13～15] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:14:45,Vocabulary and Grammar,,3,,True,
,,,갔어요,가고 있어요,갈까요,2011-04-17T00:00:00,True,international,32006,Elementary,,,,31002,True,"(3점)
<div class=""dialogue"">가: 내일 쇼핑을 ( )?</div>
<div class=""dialogue"">나: 좋아요. 쇼핑 갑시다.</div>",2,,,가지 않아요,22003,choose sentence ending,,22007,18,22007,1,,22,,,2,32006,,※ [16～19] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:29:17,Vocabulary and Grammar,,3,,True,
,,,"네, 작아요","아니요, 작아요","네, 가방이에요",2011-04-17T00:00:00,True,international,32008,Elementary,,,,32007,True,"<div class=""dialogue"">가: 가방이 작아요?</div>
<div class=""dialogue"">나: _____________________________.</div>",1,,,"아니요, 가방이 아니에요",22003,choose sentence,,34017,31,34017,1,,22,,,1,32008,,※ [31~35] &lt;보기&gt;와 같이 빈칸에 알맞은 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:20:06,Writing,,4,,,
,,,받아요,끝나요,쉬어요,2011-04-17T00:00:00,True,international,33002,Elementary,,,,31002,True,"<div class=""dialogue"">가: 일요일에도 <u>일하세요</u>?</div>
<div class=""dialogue"">나: 아니요, 일요일에는 ( ).</div>",2,,,지내요,22003,antonym,,28004,5,28004,1,,22,,,2,33002,,※ [3～5] &lt;보기&gt;와 같이 밑줄 친 부분과 반대되는 뜻을 가진 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-08T23:38:14,Vocabulary and Grammar,,3,,True,
,,,무슨,누구,무엇,2011-04-17T00:00:00,True,international,33003,Elementary,,,,31002,True,( ) 계절을 좋아해요? (4점),1,,,언제,22003,fill in right word,,32004,9,32004,1,,22,,,1,33003,,※ [9～12] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:00:59,Vocabulary and Grammar,,4,,True,
,,,는,의,를,,,,33004,,,,,,,여기( ) 시장입니다.,,,,와,,,,,0,,,,,,,1,33004,,,,,,,,2011-07-09T00:14:44,,,,,,
,,,만,까지,도,2011-04-17T00:00:00,True,international,33005,Elementary,,,,31002,True,내일은 오늘( ) 따뜻하겠습니다. (3점),4,,,보다,22003,fill in right particle,,35005,15,35005,1,,22,,,4,33005,,※ [13～15] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:18:40,Vocabulary and Grammar,,3,,True,
2,,,보고,보지만,봐서,2011-04-17T00:00:00,True,international,33007,Elementary,,,,31002,False,"(4점)
<div class=""dialogue"">가: 어제 친구랑 뭐 했어요?</div>
<div class=""dialogue"">나: 영화도 ( ) 밥도 먹었어요.</div>",1,,,보니까,22003,choose verb transition,,22008,20,22008,1,,22,,,1,33007,,※ [20～22] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:48:58,Vocabulary and Grammar,,4,,True,
,,,내야 돼요,내러 왔어요,내도 될까요,2011-04-17T00:00:00,,international,33012,Elementary,,,28010,31002,,㉠에 알맞은 것을 고르십시오. (4점),,,"[33012L, 22012L]",내려고 할까요,22003,passage dialogue,,22011,27,22011,1,28010,22,,,1,33012,,※ [27～28] 다음을 읽고 물음에 답하십시오.,1,,True,,31001,2011-07-09T01:23:12,Vocabulary and Grammar,"<div class=""dialogue"">가: 어떻게 오셨어요?</div>
<div class=""dialogue"">나: 컴퓨터 수업을 듣고 싶은데요. 신청서를 어디에 ( ㉠ )?</div>
<div class=""dialogue"">가: 저에게 주시면 됩니다. 여권도 같이 주세요. 한 장 ( ㉡ ) 후에 드릴게요.</div>
<div class=""dialogue"">나: 네. 여기 있습니다.</div>",4,,,
,,,일이 위험하기,많이 비슷하기,마음이 편해지기,2011-04-17T00:00:00,True,international,33014,Elementary,,,,32007,True,"( )에 알맞은 것을 고르십시오. (4점)
<div class=""boxedpart""><p class=""indent"">나는 꽃을 기르는 것을 좋아합니다. 
그래서 아침에 일어나면 제일 먼저 꽃에 물을 줍니다. 꽃이 피는 것을 보면 ( ) 때문입니다.
</p></div>",2,,,아주 깨끗해지기,22003,writing answer question,,34019,38,34019,1,,22,,,2,33014,,※ [38~41] 다음 물음에 답하십시오.,2,,False,,31001,2011-07-09T03:40:46,Writing,,4,,,
,,,쉬워요,아파요,작아요,,,,34002,,,,,,,"<div class=""dialogue"">가: 이거 <u>어려워요</u>?</div>
<div class=""dialogue"">나: 아니요, ( ).</div>",,,,없어요,,,,,0,,,,,,,1,34002,,,,,,,,2011-07-08T23:33:16,,,,,,
,,,함께,정말,다시,2011-04-17T00:00:00,True,international,34005,Elementary,,,,31002,True,"(3점)
<div class=""dialogue"">가: 누구하고 <u>같이</u> 왔어요?</div>
<div class=""dialogue"">나: 남동생과 ( ) 왔어요.</div>",1,,,지금,22003,synonym,,31005,6,31005,1,,22,,,1,34005,,※ [6～8] &lt;보기&gt;와 같이 밑줄 친 것과 의미가 같은 것을 고르십시오.,1,,False,,31001,2011-07-08T23:46:57,Vocabulary and Grammar,,3,,True,
,,,아파요,바빠요,늦어요,2011-04-17T00:00:00,True,international,34006,Elementary,,,,31002,True,"(4점)
<div class=""dialogue"">가: 오늘도 <u>시간이 없어요</u>?</div>
<div class=""dialogue"">나: 미안해요. 오늘도 너무 ( ).</div>",3,,,슬퍼요,22003,synonym,,31005,7,31005,1,,22,,,3,34006,,※ [6～8] &lt;보기&gt;와 같이 밑줄 친 것과 의미가 같은 것을 고르십시오.,1,,False,,31001,2011-07-08T23:49:05,Vocabulary and Grammar,,4,,True,
,,,가,에게,를,2011-04-17T00:00:00,True,international,34008,Elementary,,,,31002,True,어제 편지( ) 받았어요. (4점),2,,,에서,22003,fill in right particle,,35005,14,35005,1,,22,,,2,34008,,※ [13～15] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:16:56,Vocabulary and Grammar,,4,,True,
,,,있으면,있거나,있어도,2011-04-17T00:00:00,True,international,34009,Elementary,,,,31002,True,"(3점)
<div class=""dialogue"">가: 지금 가도 될까요? 약속이 있어서요.</div>
<div class=""dialogue"">나: 네. 약속이 ( ) 먼저 가세요.</div>",1,,,있어서,22003,choose verb transition,,22008,21,22008,1,,22,,,1,34009,,※ [20～22] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:51:40,Vocabulary and Grammar,,3,,True,
2,,,좋아서,좋을 때,좋은데,2011-04-17T00:00:00,True,international,34010,Elementary,,,,31002,False,"(3점)
<div class=""dialogue"">가: 날씨가 흐려서 바다가 잘 안 보여요.</div>
<div class=""dialogue"">나: 날씨가 ( ) 한번 더 와요.</div>",3,,,좋기 때문에,22003,choose verb transition,,22008,22,22008,1,,22,,,3,34010,,※ [20～22] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:55:07,Vocabulary and Grammar,,3,,True,
,,,만날까 합니다,만나기로 했습니다,만날 수 있습니다,2011-04-17T00:00:00,True,international,34015,Elementary,,,30013,31002,True,㉡에 알맞은 것을 고르십시오.,2,,"[31008L, 34015L]",만날 줄 알았습니다,22003,passage reading 3pts,,34014,30,34014,1,30013,22,,,2,34015,,※ [29～30] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,31001,2011-07-09T01:26:48,Vocabulary and Grammar,"<p class=""indent"">한국 전통문화에 ( ㉠ )이 있으십니까? 그러면 민속촌으로 오십시오.
민속촌에는 한국의 옛날 집과 물건이 많이 있습니다. 민속촌의 아름다운
경치도 구경하고 재미있는 공연도 즐기십시오. 민속촌에 오시면 한국의
특별한 전통문화를 ( ㉡ ).</p>",3,,True,
,,,손을 씻으러 화장실에 갑니다.,손을 씻지만 화장실에 갑니다.,손을 씻어서 화장실에 갑니다.,,,,34018,,,,,,,"<div class=""boxedpart"">손을 씻습니다. 화장실에 갑니다.</div>",,,,손을 씻는데 화장실에 갑니다.,,,,,0,,,,,,,1,34018,,,,,,,,2011-07-09T03:35:23,,,,,,
,,,적어요,좋아요,예뻐요,2011-04-17T00:00:00,True,international,35001,Elementary,,,,31002,True,"<div class=""dialogue"">가: 우체국에 사람이 <u>많아요</u>?</div>
<div class=""dialogue"">나: 아니요, ( ).</div>",1,,,있어요,22003,antonym,,28004,3,28004,1,,22,,,1,35001,,※ [3～5] &lt;보기&gt;와 같이 밑줄 친 부분과 반대되는 뜻을 가진 것을 고르십시오. (각 3점),1,,False,,31001,2011-07-08T23:33:16,Vocabulary and Grammar,,3,,,
,,,다니기,물어보기,배우기,2011-04-17T00:00:00,True,international,35003,Elementary,,,,31002,True,"(4점)
<div class=""dialogue"">가: 한국어는 언제부터 <u>공부했어요</u>?</div>
<div class=""dialogue"">나: 작년부터 ( ) 시작했어요.</div>",2,,,준비하기,22003,synonym,,31005,8,31005,1,,22,,,2,35003,,※ [6～8] &lt;보기&gt;와 같이 밑줄 친 것과 의미가 같은 것을 고르십시오.,1,,False,,31001,2011-07-08T23:55:26,Vocabulary and Grammar,,4,,True,
,,,갈아타세요,가져오세요,도와주세요,2011-04-17T00:00:00,True,international,35004,Elementary,,,,31002,True,내일 잊지 말고 카메라를 꼭 ( ). (4점),3,,,들어가세요,22003,fill in right word,,32004,11,32004,1,,22,,,3,35004,,※ [9～12] &lt;보기&gt;와 같이 ( )에 알맞은 것을 고르십시오.,1,,False,,31001,2011-07-09T00:05:35,Vocabulary and Grammar,,4,,True,
,,,가서,가니까,가면,,,,35006,,,,,,,"<div class=""dialogue"">가: 수업 끝나고 테니스를 칠까요?</div>
<div class=""dialogue"">나: 오늘은 집에 일찍 ( ) 다음에 합시다.</div>",,,,가지만,,,,,0,,,,,,,3,35006,,,,,,,,2011-07-09T00:48:58,,,,,,
4,,,일이 많고 매일 운동을 합니다.,일이 많거나 매일 운동을 합니다.,일이 많지만 매일 운동을 합니다.,2011-04-17T00:00:00,True,international,35009,Elementary,,,,32007,False,"<div class=""boxedpart"">일이 많습니다. 매일 운동을 합니다.</div>",2,,,일이 많으니까 매일 운동을 합니다.,22003,connect sentences,,30015,36,30015,1,,22,,,2,35009,,※ [36~37] &lt;보기&gt;와 같이 두 문장을 바르게 연결한 것을 고르십시오. (각 4점),2,,False,,31001,2011-07-09T03:35:24,Writing,,4,,,
,,,"<img src=""/topik/t22-l1-p3b-q15-1.png"" />","<img src=""/topik/t22-l1-p3b-q15-3.png"" />","<img src=""/topik/t22-l1-p3b-q15-2.png"" />",2011-04-17T00:00:00,True,international,36004,Elementary,t22-l1-p3b-q15-d,,,36001,True,,1,"<div class=""dialogue"">남자: 선생님, 질문 있습니다.</div>
<div class=""dialogue"">여자: (젊은 목소리로) 네. 이야기하세요.</div>",,"<img src=""/topik/t22-l1-p3b-q15-4.png"" />",22003,listen choose picture,t22-l1-p3b-q15,41004,15,41004,1,,22,,,1,36004,,※ [15~17] 다음 대화를 듣고 알맞은 그림을 고르십시오. (각 3점),3,,False,,31001,2011-07-11T23:00:59,Listening,,3,,True,
,,,아침은 안 팝니다.,점심시간은 한 시간입니다.,여기는 식당입니다.,2011-04-17T00:00:00,True,international,36016,Elementary,,,,40014,True,"(3점)
<div class=""center""><img src=""/topik/t22-l1-p4b-q41.png"" /></div>",3,,,저녁은 여덟 시에 끝납니다.,22003,read image choose incorrect,,37011,41,37011,1,,22,,,3,36016,,※ [41~43] 다음을 읽고 맞지 <u>않는</u> 것을 고르십시오.,4,,False,,31001,2011-07-12T20:23:37,Reading,,3,,True,
,,,친구는 여행을 자주 갑니다.,친구는 저에게 이메일을 씁니다.,저는 친구의 사진을 찍습니다.,2011-04-17T00:00:00,,international,36017,Elementary,,,,40014,,"(3점)
<div class=""boxedpart""><p class=""indent"">
저는 여행을 자주 갑니다. 
여행을 가서 사진을 찍습니다. 
사진을 찍어서 외국에 있는 친구에게 이메일로 보냅니다.
</p></div>",,,,저는 친구에게 사진을 보냅니다.,22003,read choose correct,,38021,46,38021,1,,22,,,4,36017,,※ [44~47] 다음의 내용과 같은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:32:23,Reading,,3,,,
,,,저는 자동차 회사에 다니고 있습니다.,저는 가장 안전한 자동차를 사고 싶습니다.,저는 자동차를 직접 만들고 싶습니다.,2011-04-17T00:00:00,,international,36018,Elementary,,,,40014,,"(4점)
<div class=""boxedpart""><p class=""indent"">
제 꿈은 자동차를 만드는 사람이 되는 것입니다. 
자동차 회사에 취직을 해서 세계에서 가장 안전한 자동차를 만들고 싶습니다. 
그래서 여러 가지 자동차 잡지를 찾아서 읽습니다.
</p></div>",,,,저는 다른 나라에 가서 자동차를 구경합니다.,22003,read choose correct,,38021,47,38021,1,,22,,,2,36018,,※ [44~47] 다음의 내용과 같은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:33:43,Reading,,4,,,
,,,저는 어제 식당에 갔습니다.,저는 사전을 새로 샀습니다.,저는 가방을 찾고 있습니다.,2011-04-17T00:00:00,,international,36019,Elementary,,,,40014,,"(3점)
<div class=""boxedpart""><p class=""indent"">
어제 식당에서 가방을 잃어버렸습니다. 
가방 안에는 지갑하고 사전이 있습니다. 
제 가방을 보신 분은 연락 주십시오.
</p></div>",,,,저는 식당에서 지갑을 찾았습니다.,22003,read choose main idea,,37013,49,37013,1,,22,,,2,36019,,※ [48~50] 다음을 읽고 중심 생각을 고르십시오.,4,,False,,31001,2011-07-12T20:37:30,Reading,,3,,,
,,,괜찮지만,힘들지만,다르지만,2011-04-17T00:00:00,True,international,36025,Elementary,,,36024,31002,True,㉡에 알맞은 것을 고르십시오.,3,,"[42021L, 36025L]",나쁘지만,22003,passage dialogue 3pts,,42020,26,42020,1,36024,22,,,3,36025,,※ [25～26] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,31001,2011-07-12T21:25:02,Vocabulary and Grammar,"<div class=""dialogue"">가: 지금 뭐 해요?</div>
<div class=""dialogue"">나: 책상을 ( ㉠ ). 초등학교에 들어가는 딸에게 주려고요.</div>
<div class=""dialogue"">가: 책상 만드는 거 어렵지 않아요?</div>
<div class=""dialogue"">나 : 좀 ( ㉡ ) 꼭 제가 만들어 주고 싶어요.</div>",3,,True,
,,,마리,미리,머리,,,,37001,,,,,,,( 머리 )가 좋아요.,,,,무리,,,t22-l1-p3b-q01-e,,0,,,,,,,2,37001,,,,,,,,2011-07-11T22:25:38,,,,,,
